POS,ID,FrameNet,gpt
NOUN,n_1,Clothing,身上穿着的服装
,n_2,Buildings,用于居住或住宿的建筑物
,n_3,Body_parts,人体部位
,n_4,Sounds,特征性人声或机械声及其发出
,n_5,Food,可食用食品成分和类别
,n_6,Aggregate,作为一个单位看待的个体或物体集合
,n_7,Calendric_unit,基于日历的时间划分与参照点
,n_8,Appellations,组织或政体中的领导或权威角色
,n_9,Vehicle,交通运输手段与运载车辆
,n_10,Facial_expression,传达情绪或态度的面部表情
,n_11,Roadways,运输与通行的路线和结构
,n_12,Intoxicants,用于醉酒或成瘾的精神活性物质
,n_13,Medical_professionals,医疗诊治专业人员
,n_14,Biological_area,特征植被和地形主导的自然陆地区域
,n_15,Connectors,材料相互紧固与连接
,n_16,Offenses,法律上的刑事犯罪
,n_17,Substance,固态、液态或气态物质和材料
,n_18,People_by_origin,与原籍地或居住地相关的国籍或地域身份
,n_19,Social_event,为庆祝和娱乐而组织的社交聚会
,n_20,Sensation,通过嗅觉、味觉、视觉、听觉和触觉的感觉知觉
,n_21,Body_mark,身体上的皮肤病变和标记
,n_22,Medical_instruments,用于内部检查和干预的诊断及外科医疗仪器
,n_23,Organization,具有制度协调与权威的正式集体机构
,n_24,Money,货币与金融资源
,n_25,People_by_age,整个人生阶段的人类年龄类别
,n_26,Businesses,商业企业或营业场所
,n_27,Physical_artworks,对象的视觉呈现
,n_28,Prison,被拘留者羁押设施
,n_29,Predicament,困难或棘手处境
,n_30,Law,权威规则体系和正式指令
VERB,v_1,Filling,材料向目标表面或空间的施加与置入
,v_2,Cause_motion,施加物理力致使物体位移
,v_3,Motion_noise,撞击、摩擦或流体与空气运动产生的特征声音
,v_4,Text_creation,通过词语记录或传达的语言表达
,v_5,Absorb_heat,基于热的食物制备方法
,v_6,Cause_to_fragment,受力或受损碎裂成片段的分离
,v_7,Change_posture,相对直立朝向的身体姿势及姿势变化
,v_8,Communication_manner,发声方式和言语风格
,v_9,Operate_vehicle,通过车辆或相关推进方式的行进和移动
,v_10,Cause_impact,物理冲击和碰撞力
,v_11,Cause_to_start,效应或反应的致使启动
,v_12,Manipulate_into_doing,为牟利对他人的强制性或欺骗性影响
,v_13,Closure,封闭机构的固定或释放
,v_14,Mass_motion,大量连续流动的到达或移动
,v_15,Required_event,义务和必要性的义务情态表达
,v_16,Cause_to_be_wet,液体导致湿润的充分施加或吸收
,v_17,Come_together,在一处的集体聚集
,v_18,Communication_means,信息或信号的长距离传输
,v_19,Expend_resource,可用供给经使用或消耗的完全耗尽
,v_20,Thwarting,计划或结果的阻碍
,v_21,Cause_change_of_phase,固、液、气之间的相变
,v_22,Detaching,与紧固件或连接的分离
,v_23,Giving_in,向压力或要求的屈服
,v_24,Undressing,衣物从身体上的移除
,v_25,Cause_to_perceive,使信息为受众所感知
,v_26,Change_operational_state,设备或系统的通电运行状态
,v_27,Fall_asleep,失去意识或进入睡眠的转变
,v_28,Change_event_duration,持续时间的延长或缩短
,v_29,Name_conferral,向某人或某物赋予识别名称
,v_30,Putting_out_fire,灭火与燃烧停止
ADJ,a_1,Body_description_holistic,体格与体重相关体型
,a_2,Size,物理尺寸或范围的大小
,a_3,Praiseworthiness,应受称赞或责备的道德评价
,a_4,Duration_description,时间持续或存续
,a_5,Being_wet,高含水量和湿度饱和
,a_6,Ordinal_numbers,序列中的序数位置
,a_7,Beyond_compare,卓越或质量上胜过一切他者
,a_8,Level_of_light,照明水平和光的有无
,a_9,Mental_stimulus_exp_focus,对某人或某事物的强烈兴趣与专注
,a_10,Ground_up,经机械破碎成小颗粒或碎片的状态
,a_11,Aesthetics,审美吸引力及对外观或品味的评价判断
,a_12,Social_desirability,社会阶层地位及其分层
,a_13,Attitude_description,面向未来结果的正负向展望
,a_14,Prominence,吸引注意的知觉显著性
,a_15,Strictness,规则执行中严格性与宽松性的对立
,a_16,Being_detached,缺乏物理附着或连接
,a_17,Being_rotted,分解和腐败
,a_18,Rashness,耐心与冲动急躁
,a_19,Used_up,可用资源的完全消耗或耗尽
,a_20,Being_questionable,对可信性或合法性的怀疑
,a_21,Popularity,广泛社会认可与受欢迎性
,a_22,Sole_instance,不含他者的独占性
,a_23,Abounding_with,许多元素的密集覆盖或填充
,a_24,Stimulus_focus,在感知者中唤起的情感影响
,a_25,Artificiality,真实性与模仿或虚假性
,a_26,Legality,对法律或公认规则的符合或不符合
,a_27,Wealthiness,经济财富和贫困状态
,a_28,Social_interaction_evaluation,对他人的人际礼貌与善意
,a_29,Temperature,相对于冷热程度的热水平
,a_30,Correctness,与真理或事实相符性
